iter	MultiClass
0	1.013486881
1	0.9417467677
2	0.8847987733
3	0.8368143328
4	0.7959026531
5	0.760878279
6	0.7303357364
7	0.7039024244
8	0.6800153753
9	0.6580908989
10	0.6397682755
11	0.6235346417
12	0.6080892174
13	0.5948955315
14	0.5818850706
15	0.5706287671
16	0.5603073999
17	0.5513869633
18	0.5428465069
19	0.5362390739
20	0.529777897
21	0.5226693982
22	0.5165299593
23	0.5113938992
24	0.5062579874
25	0.5022057782
26	0.4979338988
27	0.4938573743
28	0.490601629
29	0.4871054864
30	0.4840043721
31	0.4814179448
32	0.4790872632
33	0.4758430542
34	0.4734708907
35	0.4711012086
36	0.4686928048
37	0.4663274815
38	0.46454692
39	0.4628458098
40	0.4606199815
41	0.4585643267
42	0.4561915216
43	0.4545072905
44	0.45296914
45	0.4514284619
46	0.4498485569
47	0.4484260689
48	0.4472137917
49	0.4459004593
50	0.4444727289
51	0.4435862085
52	0.4426364316
53	0.4415908669
54	0.4403757521
55	0.4384230869
56	0.4375261871
57	0.4368695268
58	0.4356789572
59	0.434949767
60	0.4342149311
61	0.433197785
62	0.4325743184
63	0.431804226
64	0.4311073469
65	0.4301319367
66	0.4291003819
67	0.4279121441
68	0.42687555
69	0.4261059331
70	0.4249879703
71	0.4237818426
72	0.4227779142
73	0.4217448165
74	0.4211452419
75	0.4202921617
76	0.419532755
77	0.4189078968
78	0.4183973554
79	0.4171350141
80	0.4159928516
81	0.4150876557
82	0.4134360565
83	0.4126900079
84	0.4122299787
85	0.411667503
86	0.4110397391
87	0.4104306614
88	0.4099031605
89	0.4093745699
90	0.4090309305
91	0.4084660161
92	0.4078751438
93	0.4071178091
94	0.4063397873
95	0.4052496299
96	0.4043471431
97	0.4036134043
98	0.4028678882
99	0.4022313201
100	0.4017949046
101	0.4011525215
102	0.4005794313
103	0.3999813745
104	0.3988372736
105	0.3981898182
106	0.3974076735
107	0.3967690778
108	0.3961743539
109	0.3954808432
110	0.3945421422
111	0.3940976868
112	0.3934702442
113	0.3929118067
114	0.3924211469
115	0.3920173557
116	0.3914760339
117	0.3908088714
118	0.3903576114
119	0.3898149221
120	0.3890758356
121	0.3883092968
122	0.3879132957
123	0.3870537405
124	0.3864146067
125	0.3855062992
126	0.3848100264
127	0.3842123346
128	0.3834672075
129	0.3829681948
130	0.382345369
131	0.3818076964
132	0.3813598383
133	0.3809723633
134	0.3806553397
135	0.3802538711
136	0.3797557971
137	0.3789383767
138	0.3784498638
139	0.378216498
140	0.3775602983
141	0.3767473552
142	0.3761433865
143	0.3757816564
144	0.3753047543
145	0.3749434856
146	0.3743517859
147	0.3738116729
148	0.3730215074
149	0.3724997964
150	0.372150336
151	0.3714315666
152	0.3709918901
153	0.3703858062
154	0.3697653505
155	0.3691332419
156	0.3683645473
157	0.3679080821
158	0.3674367017
159	0.3671787553
160	0.3667620935
161	0.366356822
162	0.3658068058
163	0.3650676328
164	0.3646553956
165	0.3642163321
166	0.3639498433
167	0.363390569
168	0.3624640163
169	0.3620305397
170	0.3611954852
171	0.36058341
172	0.3601075658
173	0.3595130109
174	0.3589868545
175	0.3586341198
176	0.3578407013
177	0.3572894103
178	0.3569835611
179	0.3567067043
180	0.3562619087
181	0.3555442707
182	0.3548815544
183	0.3544466756
184	0.3542200266
185	0.3537735418
186	0.3534220543
187	0.3529251244
188	0.352224634
189	0.3519848189
190	0.3515516156
191	0.351001674
192	0.3505622658
193	0.3501554395
194	0.3495471071
195	0.3493849263
196	0.3485565981
197	0.3481088314
198	0.3476354241
199	0.3472398161
200	0.3466101417
201	0.3463276771
202	0.3459665701
203	0.3452059217
204	0.3446190451
205	0.3440959951
206	0.3435430409
207	0.3428877085
208	0.3425495326
209	0.3421777635
210	0.3418870673
211	0.3414461213
212	0.3408840405
213	0.3405625784
214	0.3399903662
215	0.3396000784
216	0.3391960792
217	0.3387777939
218	0.3384246663
219	0.3379003659
220	0.3374969817
221	0.3370916859
222	0.3364806171
223	0.3358880374
224	0.3355687071
225	0.3352667145
226	0.3345737489
227	0.3340577696
228	0.333586229
229	0.3330091029
230	0.3327098355
231	0.3319289842
232	0.3316226561
233	0.3312162798
234	0.3309073101
235	0.3305312092
236	0.3303318688
237	0.3297644711
238	0.3292299062
239	0.3286901804
240	0.3282835976
241	0.3280371863
242	0.3274699946
243	0.3266151031
244	0.3256676475
245	0.3253117871
246	0.3244852388
247	0.3241029956
248	0.3236869479
249	0.3231658943
250	0.3227959078
251	0.3224132593
252	0.3217919508
253	0.3214511998
254	0.3209086092
255	0.3206960823
256	0.3202981952
257	0.3199606738
258	0.3195168339
259	0.319271546
260	0.3188028507
261	0.3185303398
262	0.3182557907
263	0.3176781393
264	0.3172791484
265	0.3170145426
266	0.3166214992
267	0.3163530796
268	0.3160754241
269	0.3157152792
270	0.3152901961
271	0.3150839892
272	0.3147923737
273	0.3142007431
274	0.3140202419
275	0.3136655714
276	0.3132427661
277	0.3129271065
278	0.3128157083
279	0.3124250094
280	0.3120433323
281	0.3118704234
282	0.3114325855
283	0.3109643015
284	0.3105224661
285	0.3099710439
286	0.309814884
287	0.3093829539
288	0.3090963592
289	0.3084284211
290	0.308147569
291	0.3079904691
292	0.3077555266
293	0.3075413339
294	0.3072683522
295	0.3070228016
296	0.3064278671
297	0.3061516792
298	0.3058711824
299	0.3050722682
300	0.3047066556
301	0.3043325581
302	0.3036922868
303	0.303066084
304	0.3026440926
305	0.3021988346
306	0.3018896378
307	0.3016349873
308	0.3014095844
309	0.3011811216
310	0.3006168173
311	0.2999040531
312	0.2995126673
313	0.2989607949
314	0.2986154474
315	0.2983618609
316	0.2978861102
317	0.2975100717
