iter	Passed	Remaining
0	42	42448
1	87	43827
2	115	38339
3	165	41233
4	193	38590
5	257	42699
6	292	41423
7	330	41013
8	362	39932
9	406	40214
10	438	39449
11	470	38770
12	502	38141
13	521	36729
14	552	36306
15	583	35889
16	617	35689
17	665	36286
18	702	36257
19	739	36251
20	767	35802
21	792	35226
22	824	35012
23	870	35393
24	901	35165
25	924	34626
26	1075	38742
27	1103	38310
28	1141	38209
29	1163	37622
30	1196	37408
31	1230	37222
32	1258	36868
33	1306	37132
34	1336	36846
35	1365	36568
36	1389	36153
37	1435	36328
38	1470	36239
39	1498	35974
40	1525	35674
41	1554	35453
42	1583	35236
43	1611	35003
44	1644	34909
45	1671	34670
46	1699	34452
47	1737	34466
48	1769	34338
49	1796	34133
50	1827	33997
51	1854	33808
52	1885	33685
53	1914	33540
54	1945	33435
55	1974	33278
56	2008	33235
57	2033	33028
58	2073	33069
59	2098	32883
60	2140	32949
61	2185	33066
62	2215	32944
63	2237	32727
64	2269	32647
65	2305	32619
66	2335	32528
67	2368	32465
68	2403	32425
69	2439	32413
70	2491	32605
71	2511	32364
72	2558	32487
73	2599	32532
74	2636	32511
75	2674	32517
76	2704	32422
77	2740	32396
78	2779	32403
79	2814	32371
80	2842	32255
81	2866	32089
82	2904	32084
83	2944	32107
84	2974	32018
85	3011	32003
86	3039	31895
87	3067	31794
88	3095	31688
89	3120	31548
90	3148	31453
91	3181	31399
92	3217	31377
93	3251	31343
94	3273	31180
95	3304	31116
96	3335	31053
97	3359	30923
98	3387	30830
99	3416	30749
100	3453	30743
101	3497	30788
102	3545	30880
103	3573	30788
104	3599	30680
105	3626	30581
106	3654	30501
107	3680	30396
108	3710	30332
109	3734	30215
110	3761	30124
111	3792	30071
112	3822	30001
113	3847	29900
114	3878	29844
115	3899	29718
116	3929	29655
117	3964	29629
118	3994	29575
119	4017	29464
120	4044	29381
121	4075	29329
122	4115	29346
123	4141	29255
124	4172	29207
125	4200	29136
126	4228	29070
127	4254	28985
128	4289	28961
129	4317	28891
130	4340	28792
131	4389	28861
132	4408	28735
133	4434	28655
134	4453	28537
135	4473	28417
136	4487	28268
137	4517	28215
138	4538	28110
139	4565	28042
140	4587	27949
141	4606	27835
142	4627	27731
143	4649	27636
144	4679	27594
145	4706	27529
146	4740	27507
147	4778	27510
148	4815	27505
149	4855	27512
150	4870	27384
151	4900	27338
152	4928	27285
153	4966	27281
154	5003	27278
155	5038	27258
156	5070	27223
157	5115	27263
158	5135	27163
159	5170	27147
160	5199	27094
161	5225	27032
162	5250	26959
163	5283	26933
164	5319	26919
165	5341	26838
166	5378	26830
167	5413	26809
168	5440	26750
169	5486	26787
170	5520	26762
171	5547	26706
172	5589	26720
173	5622	26691
174	5653	26650
